onset	duration	trial_type	offset	trial	block	blockCntr	frequency	amplitude_1	amplitude_2	amplitude_3	amplitude_4	amplitude_5	amplitude_6	amplitude_7	amplitude_8	transition	sham	mode	runNr	scanNr	subjectNr	target	eyeClosed	nrBlinks	meanPupilArea
20.3773861144399	4.01084437993914	RTPJ	24.3882304943791	1	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	4	6.4	203	RTPJ	0.424362009997369	7	481.826325411335
25.3890496234223	4.01993237513211	RTPJ	29.4089819985544	2	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	4	6.4	203	RTPJ	0.403051828466193	3	522.701630674306
30.4097461193632	4.01991509690415	RTPJ	34.4296612162674	3	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	4	6.4	203	RTPJ	0.309129176532491	4	547.160319878142
35.4310734469257	4.01943659577984	RTPJ	39.4505100427056	4	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	4	6.4	203	RTPJ	0.503551696921863	4	518.299947005829
40.4512738108961	4.0199750417769	RTPJ	44.471248852673	5	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	4	6.4	203	RTPJ	0.709813207050776	5	515.665457842248
45.4721628356604	4.01983998950571	RTPJ	49.4920028251661	6	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	4	6.4	203	RTPJ	0.787161273349119	3	454.878862793572
50.4760994506581	4.01994824289251	RTPJ	54.4960476935506	7	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	4	6.4	203	RTPJ	0.315706393054459	6	604.362937331795
55.4801002419312	4.02000571944472	RTPJ	59.5001059613759	8	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	4	6.4	203	RTPJ	0.444882925545909	7	565.795260663507
60.5009959664149	4.01985726773459	RTPJ	64.5208532341495	9	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	4	6.4	203	RTPJ	0.739542225730071	6	465.341414141414
65.5049745428236	4.02049056767393	RTPJ	69.5254651104975	10	1	1	10	750	250	250	250	0	0	0	0	500	0	BLOCKED	4	6.4	203	RTPJ	0.939489607997895	1	518.565217391304
