onset	duration	trial_type	offset	trial	block	blockCntr	frequency	amplitude_1	amplitude_2	amplitude_3	amplitude_4	amplitude_5	amplitude_6	amplitude_7	amplitude_8	transition	sham	mode	rewardFraction	guess	outcome	correct	word	when	answer	runNr	scanNr	subjectNr	target	reactionTime	outcomeEyeClosed	outcomeParms_1	outcomeParms_2	outcomeParms_3	outcomeSigma	outcomePupilArea	guessEyeClosed	guessParms_1	guessParms_2	guessParms_3	guessSigma	guessPupilArea	nrBlinks	trialInBlock	isReward	isPanas	isPunish	beforePanasReward	beforePanasVLPFC
20.3761083634421	2.51661707695574	punish_rtpj	22.8927254403979	1	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	-1	8	-1	attentive	At this moment	3	2	8	225	RTPJ	657.33242405206	0.533083645443196	n/a	n/a	n/a	n/a	2137.37165775401	0.230591852421214	1803.13603711264	-0.0765230261197424	0.000195367714312194	17.1520730024003	1937.34265734266	4	1	0	0	1	0	0
23.8935410435647	2.51869645951688	punish_rtpj	26.4122375030816	2	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	-1	8	-1	hostile	At this moment	2	2	8	225	RTPJ	224.492566481233	0.671660424469413	n/a	n/a	n/a	n/a	2133.89733840304	0.230591852421214	1542.42035744484	0.502211063622941	-0.000124123573811246	12.4268073900519	1903.29170829171	3	2	0	0	1	0	0
27.4130097343475	2.51874617851526	punish_rtpj	29.9317559128627	3	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	-1	10	-1	guilty	At this moment	3	2	8	225	RTPJ	240.386425934732	0.374531835205993	n/a	n/a	n/a	n/a	2039.53293413174	0.487317448116833	n/a	n/a	n/a	n/a	1844.30734632684	3	3	0	0	1	0	0
30.9326127722114	2.51870421708376	punish_rtpj	33.4513169892952	4	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	1	4	-1	ashamed	At this moment	3	2	8	225	RTPJ	256.408285371959	0.374531835205993	n/a	n/a	n/a	n/a	2096.14371257485	0.23674096848578	1663.96100160801	0.440492876955288	-0.000141171100986419	15.517427728655	1949.38066465257	2	4	0	0	1	0	0
34.435496121563	2.51866825015843	punish_rtpj	36.9541643717214	5	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	1	3	-1	upset	At this moment	2	2	8	225	RTPJ	242.20487190038	0	2824.40828296901	-0.725383250940267	0.000178364632925575	15.6344370303145	2100.17602996255	0.257494235203689	n/a	n/a	n/a	n/a	1986.63043478261	1	5	0	0	1	0	0
37.9548819473535	2.51885513716936	punish_rtpj	40.4737370845228	6	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	1	2	-1	proud	At this moment	2	2	8	225	RTPJ	590.054860152304	0.374531835205993	n/a	n/a	n/a	n/a	2032.54690618762	0.405073020753267	n/a	n/a	n/a	n/a	1929.49612403101	3	6	0	0	1	0	0
41.4746136904284	2.51859596365691	punish_rtpj	43.9932096540853	7	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	-1	4	1	hostile	At this moment	2	2	8	225	RTPJ	339.490143999457	0	5887.57295425915	-3.46541973573721	0.000759321467657589	15.5373968176528	1993.08489388265	0.491929285165257	n/a	n/a	n/a	n/a	2027.11800302572	2	7	0	0	1	0	0
44.9941380947009	2.51859067440778	punish_rtpj	47.5127287691087	8	3	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.25	1	6	1	ashamed	At this moment	3	2	8	225	RTPJ	307.856518723071	0	7291.76148484747	-4.75140051600336	0.00104312080055375	16.6304385499587	1956.56179775281	0.242121445042275	1499.85147617501	0.628225020750568	-0.00018385104816475	15.6847386768221	1921.38539553753	2	8	0	0	1	0	0
48.513544372268	6.02160202373564	panas_none	54.5351463960037	9	5	2	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2000	0	BLOCKED	n/a	n/a	+	0	guilty	At this moment	1	2	8	225	NONE	n/a	0.214731585518102	1347.47736521008	-0.0895992176346898	2.60550216562357e-05	11.9808335268929	1273.52941176471	0	1624.2234066278	-0.15339202454444	2.73637442990166e-05	81.6202851998532	1520.10530361261	4	1	0	1	0	0	0
55.5359376685992	6.02154983641952	panas_none	61.5574875050187	10	5	2	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2000	0	BLOCKED	n/a	n/a	+	0	scared	At this moment	1	2	8	225	NONE	n/a	0	2062.26713662885	-0.799299983800687	0.000251402200097521	14.1660997320337	1505.79026217228	0	1657.27008792754	-0.147212094281303	-3.27724660270277e-06	22.088686574127	1529.45196003075	3	2	0	1	0	0	0
