onset	duration	trial_type	offset	trial	block	blockCntr	frequency	amplitude_1	amplitude_2	amplitude_3	amplitude_4	amplitude_5	amplitude_6	amplitude_7	amplitude_8	transition	sham	mode	runNr	scanNr	subjectNr	target	eyeClosed	parms_1	parms_2	parms_3	sigma	nrBlinks	meanPupilArea
170.591832258642	4.0198491715789	VLPFC	174.611681430221	31	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	3	n/a
175.612567557096	4.02011469221117	VLPFC	179.632682249308	32	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
180.616765464127	4.01983718258143	VLPFC	184.636602646708	33	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	0	n/a
185.620642842293	4.02012350761891	VLPFC	189.640766349912	34	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	0	n/a
190.641431033194	4.01983189332486	VLPFC	194.661262926519	35	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
195.662281284809	4.01988936990497	VLPFC	199.682170654714	36	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	2	n/a
200.666267269015	4.01984106135367	VLPFC	204.686108330369	37	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	2	n/a
205.670325187087	4.0199602459669	VLPFC	209.690285433054	38	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
210.67430059278	4.02015982723236	VLPFC	214.694460420012	39	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	2	n/a
215.678476284981	4.01978358471393	VLPFC	219.698259869695	40	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	0	n/a
220.699157632947	4.01988584375383	VLPFC	224.719043476701	41	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
225.703263506949	4.02006426805258	VLPFC	229.723327775002	42	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
230.724036535382	4.01978746360538	VLPFC	234.743823998988	43	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	2	n/a
235.744794753909	4.0198230779171	VLPFC	239.764617831826	44	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	3	n/a
240.748866424084	4.01967674171925	VLPFC	244.768543165803	45	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
245.753156011581	4.01968590986729	VLPFC	249.772841921449	46	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
