filename	acq_time	operator	randstr
anat/sub-219_T1w.nii.gz	1919-02-06T15:48:31.000000	tubric	cdc365d9
anat/sub-219_T2w.nii.gz	1919-02-06T15:53:20.000000	tubric	711291ee
fmap/sub-219_magnitude1.nii.gz	1919-02-06T15:54:46.000000	tubric	5694240a
fmap/sub-219_magnitude2.nii.gz	1919-02-06T15:54:46.000000	tubric	5694240a
fmap/sub-219_phasediff.nii.gz	1919-02-06T15:54:46.000000	tubric	92e2c981
func/sub-219_task-cardgame_run-01_bold.nii.gz	1919-02-06T15:56:23.000000	tubric	4b3037a4
func/sub-219_task-rest_run-01_bold.nii.gz	1919-02-06T16:06:27.000000	tubric	ccf70b46
func/sub-219_task-cardgame_run-02_bold.nii.gz	1919-02-06T16:15:41.000000	tubric	e8571cd2
func/sub-219_task-rest_run-02_bold.nii.gz	1919-02-06T16:25:23.000000	tubric	7fcd47b8
func/sub-219_task-rest_run-03_bold.nii.gz	1919-02-06T16:34:27.000000	tubric	ccf507b7
func/sub-219_task-rest_run-04_bold.nii.gz	1919-02-06T16:43:01.000000	tubric	4c66973c
func/sub-219_task-cardgame_run-03_bold.nii.gz	1919-02-06T16:52:03.000000	tubric	d7955fc9
