onset	duration	trial_type	offset	trial	block	blockCntr	frequency	amplitude_1	amplitude_2	amplitude_3	amplitude_4	amplitude_5	amplitude_6	amplitude_7	amplitude_8	transition	sham	mode	runNr	scanNr	subjectNr	target	eyeClosed	parms_1	parms_2	parms_3	sigma	nrBlinks	meanPupilArea
20.4115162561666	4.00663342899829	SHAM	24.4181496851649	1	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	0.261247040252565	n/a	n/a	n/a	n/a	2	2685.41310541311
25.4021669718567	4.02000607206114	SHAM	29.4221730439179	2	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	0.479084451460142	n/a	n/a	n/a	n/a	1	2893.40202020202
30.4229227074347	4.01990557624958	SHAM	34.4428282836843	3	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	0.33201789002894	n/a	n/a	n/a	n/a	2	3744.43166601024
35.4269287879597	4.02004627038911	SHAM	39.4469750583488	4	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	0.946593001841621	n/a	n/a	n/a	n/a	7	4861.05418719212
40.4312278931253	4.01969259564392	SHAM	44.4509204887692	5	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
45.4518238932509	4.02003604449705	SHAM	49.4718599377479	6	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
50.4725351991002	4.02006390123255	SHAM	54.4925991003327	7	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	3	n/a
55.4932200586833	4.01993801700137	SHAM	59.5131580756847	8	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
60.4971788885426	4.02018837499804	SHAM	64.5173672635406	9	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
65.5013133216202	4.02000642467848	SHAM	69.5213197462987	10	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	0.998947645356485	n/a	n/a	n/a	n/a	0	2780.75
70.5057393688634	4.02008047422953	SHAM	74.5258198430929	11	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	0.792423046566693	n/a	n/a	n/a	n/a	6	3895.00253485425
75.509757085748	4.01971763144434	SHAM	79.5294747171924	12	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	4	n/a
80.5302874991316	4.01981530632266	SHAM	84.5501028054543	13	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
85.5342177670244	4.02014429788477	SHAM	89.5543620649092	14	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	25	n/a
90.5385507234111	4.01978216033429	SHAM	94.5583328837454	15	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	2	n/a
95.5423540492225	4.02000113542751	SHAM	99.56235518465	16	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
100.546587215027	4.019857620351	SHAM	104.566444835378	17	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
105.567551699808	4.01976735042595	SHAM	109.587319050234	18	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
110.57137089338	4.01988970848731	SHAM	114.591260601867	19	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
115.592140381018	4.01987948259712	SHAM	119.612019863615	20	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
120.612803378351	4.02023774136231	SHAM	124.633041119713	21	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
125.633618000951	4.02003851281853	SHAM	129.653656513769	22	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
130.637549326696	4.02014606096967	SHAM	134.657695387665	23	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
135.641729247348	4.01989111895671	SHAM	139.661620366305	24	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	0.641936332544067	n/a	n/a	n/a	n/a	1	3392.82145481264
140.645750137785	4.02001594533584	SHAM	144.665766083121	25	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	0.935543278084715	n/a	n/a	n/a	n/a	2	3338.21632653061
145.650046422014	4.01980366996489	SHAM	149.669850091979	26	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
150.653846574275	4.02040946578606	SHAM	154.674256040061	27	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
155.674697163796	4.01984034212305	SHAM	159.694537505919	28	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
160.678746968817	4.01989605559223	SHAM	164.698643024409	29	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
165.682869412916	4.01996939990855	SHAM	169.702838812824	30	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
170.68686773587	4.01992320709491	SHAM	174.706790942965	31	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
175.707533906758	4.02009528413785	SHAM	179.727629190896	32	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
180.711708890777	4.02003604449891	SHAM	184.731744935276	33	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
185.715774563558	4.02004133375175	SHAM	189.73581589731	34	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
190.720119508917	4.01966050750949	SHAM	194.739780016426	35	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
195.740614660611	4.020285697259	SHAM	199.76090035787	36	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
200.761328787396	4.01990381316466	SHAM	204.78123260056	37	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
205.765553843012	4.01981142753922	SHAM	209.785365270551	38	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
210.769534535123	4.01986784623938	SHAM	214.789402381362	39	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
215.773542026114	4.02001453487017	SHAM	219.793556560984	40	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
220.777605935812	4.02014993975496	SHAM	224.797755875567	41	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
225.798535864135	4.01994154317117	SHAM	229.818477407306	42	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	3	10	222	SHAM	1	n/a	n/a	n/a	n/a	0	n/a
