onset	duration	trial_type	offset	trial	block	blockCntr	frequency	amplitude_1	amplitude_2	amplitude_3	amplitude_4	amplitude_5	amplitude_6	amplitude_7	amplitude_8	transition	sham	mode	runNr	scanNr	subjectNr	target	eyeClosed	nrBlinks	meanPupilArea
20.2983257755786	4.01555886231735	SHAM	24.313884637896	1	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.0326229939489608	1	1230.58716344846
25.2980457978621	4.0198777125068	SHAM	29.3179235103689	2	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.0789265982636148	1	1220.15738360468
30.3020814967826	4.01989886951447	SHAM	34.3219803662971	3	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.0802420415680084	1	1198.01372997712
35.3228252360746	4.01996551407873	SHAM	39.3427907501534	4	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.0789265982636148	1	1530.30048557555
40.3436352673136	4.01987665465846	SHAM	44.363511921972	5	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0	0	1316.57879505393
45.3476254786737	4.01988194390758	SHAM	49.3675074225813	6	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.126545645882662	2	1098.54698795181
50.3683759176806	4.01995211464539	SHAM	54.388328032326	7	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.103130755064457	2	1143.25256673511
55.3891397561245	4.01987277587504	SHAM	59.4090125319995	8	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0	0	894.379110760326
60.3931007002927	4.02009386658297	SHAM	64.4131945668757	9	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.107603262299395	2	1157.51503537736
65.413996770028	4.01988652792201	SHAM	69.43388329795	10	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0	0	1166.36306235201
70.4346040466279	4.01999760220572	SHAM	74.4546016488336	11	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.468560905024993	15	899.028217821782
75.4554620337486	4.01994224137439	SHAM	79.475404275123	12	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0	0	1650.68034727703
80.4594980852865	4.01990415876358	SHAM	84.47940224405	13	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.149171270718232	2	1366.6951144094
85.4636293433532	4.01988088605924	SHAM	89.4835102294125	14	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0	0	1119.79531702184
90.467675268162	4.01985302932933	SHAM	94.4875282974914	15	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.319915811628519	4	818.677369439072
95.4884288807213	4.01987242325396	SHAM	99.5083013039753	16	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0	0	1218.32596685083
100.509148642071	4.01992989978568	SHAM	104.529078541856	17	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.304130491975796	3	855.965595463138
105.529790122498	4.02002792724595	SHAM	109.549818049744	18	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.166798210997106	2	1151.75213135459
110.550644936066	4.01993342595547	SHAM	114.570578362022	19	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.257563799000263	3	1582.89156626506
115.571307573497	4.02001558566467	SHAM	119.591323159162	20	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.102604577742699	1	1290.14541190267
120.575498071186	4.01989181717113	SHAM	124.595389888357	21	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0	0	1264.42725598527
125.579521428518	4.02020776179806	SHAM	129.599729190316	22	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.263877926861352	6	995.157255182273
130.583586747248	4.01992496315017	SHAM	134.603511710398	23	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.113391212838727	0	1372.18783382789
135.587657002613	4.01992566838487	SHAM	139.607582670998	24	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0	1	1329.43330702447
140.591636282854	4.0200184065923	SHAM	144.611654689446	25	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.303078137332281	1	1129.84560211401
145.595785876989	4.01993307333811	SHAM	149.615718950327	26	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.230465666929755	2	1357.62564102564
150.599768683396	4.0200339217335	SHAM	154.61980260513	27	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0	0	1065.59168639832
155.62060022426	4.01993272072448	SHAM	159.640532944985	28	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0	0	1119.97842672981
160.624657432806	4.01993025240674	SHAM	164.644587685212	29	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.292817679558011	2	931.792782738095
165.645429734051	4.01987877035515	SHAM	169.665308504406	30	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.0802420415680084	1	1329.42877574371
170.666204503618	4.01978991092741	SHAM	174.685994414546	31	1	1	10	750	250	250	250	250	250	250	750	2000	1	BLOCKED	2	10	189	SHAM	0.47540121020784	7	819.583249749248
