onset	duration	trial_type	offset	trial	block	blockCntr	frequency	amplitude_1	amplitude_2	amplitude_3	amplitude_4	amplitude_5	amplitude_6	amplitude_7	amplitude_8	transition	sham	mode	rewardFraction	guess	outcome	correct	word	when	answer	runNr	scanNr	subjectNr	target	reactionTime	outcomeEyeClosed	outcomeParms_1	outcomeParms_2	outcomeParms_3	outcomeSigma	outcomePupilArea	guessEyeClosed	guessParms_1	guessParms_2	guessParms_3	guessSigma	guessPupilArea	nrBlinks	trialInBlock	isReward	isPanas	isPunish	beforePanasReward	beforePanasVLPFC
20.3570183582902	2.53699600943923	reward_rtpj	22.8940143677294	1	1	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.75	1	7	1	excited	At this moment	1	2	11	212	RTPJ	525.698877364397	1	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	1	1	0	0	0	0
23.8948754575551	2.5186818061471	reward_rtpj	26.4135572637022	2	1	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.75	1	6	1	upset	At this moment	2	2	11	212	RTPJ	350.655743539333	1	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	2	1	0	0	0	0
27.397701151073	2.51867263808846	reward_rtpj	29.9163737891614	3	1	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.75	1	6	1	scared	At this moment	4	2	11	212	RTPJ	273.317040085793	1	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	3	1	0	0	0	0
30.9171890388429	2.51901009222865	reward_rtpj	33.4361991310716	4	1	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.75	1	6	1	inspired	At this moment	5	2	11	212	RTPJ	390.931616693735	1	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	4	1	0	0	0	0
34.4201585999131	2.51864125522971	reward_rtpj	36.9387998551428	5	1	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.75	1	0	-1	guilty	At this moment	1	2	11	212	RTPJ	424.192181736231	1	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	5	1	0	0	0	0
37.9395012096465	2.51875902917981	reward_rtpj	40.4582602388263	6	1	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.75	1	2	-1	active	At this moment	2	2	11	212	RTPJ	306.556800723076	1	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	6	1	0	0	0	0
41.4589485465288	2.51933873096108	reward_rtpj	43.9782872774899	7	1	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.75	1	8	1	jittery	At this moment	1	2	11	212	RTPJ	373.289853364229	1	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	7	1	0	0	0	0
44.9623497103751	2.51826113450527	reward_rtpj	47.4806108448803	8	1	1	10	750	250	250	250	0	0	0	0	2000	0	BLOCKED	0.75	1	6	1	hostile	At this moment	5	2	11	212	RTPJ	379.05337241292	1	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	8	1	0	0	0	0
48.5011514696479	6.01855468785762	panas_none	54.5197061575055	9	5	2	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2000	0	BLOCKED	n/a	n/a	+	0	nervous	At this moment	1	2	11	212	NONE	n/a	1	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	1	0	1	0	1	0
55.5040457470715	6.02133612793684	panas_none	61.5253818750083	10	5	2	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2000	0	BLOCKED	n/a	n/a	+	0	determined	At this moment	5	2	11	212	NONE	n/a	1	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	2	0	1	0	1	0
